                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8774,                 15.776,                 4.2196,                      0,                      0,                      0,                      0,                 3.1558,                 6.8867,                 1.8616,                      0,                      0,                      0
                      2,                  1.074,                 17.891,                0.59936,                      0,                      0,                      0,                      0,                 3.1558,                 6.8867,                 1.8617,             1.1106e-05,             1.1106e-05,             1.1106e-05
                      3,                 6.9296,                 14.206,                 4.3566,                      0,                      0,                      0,                      0,                 3.1604,                 6.8867,                 1.8645,             2.2202e-05,             2.2202e-05,             2.2202e-05
                      4,                0.07462,                 18.009,                0.04369,                      0,                      0,                      0,                      0,                 3.1586,                 6.8867,                 1.8636,              3.329e-05,              3.329e-05,              3.329e-05
                      5,                  6.845,                 10.365,                 4.1701,                      0,                      0,                      0,                      0,                 3.1581,                 6.8867,                  1.863,              4.437e-05,              4.437e-05,              4.437e-05
                      6,                 6.8162,                  17.42,                   4.16,                      0,                      0,                      0,                      0,                 3.1522,                 6.8828,                 1.8598,              5.544e-05,              5.544e-05,              5.544e-05
                      7,                 6.8124,                 11.867,                 4.2689,                      0,                      0,                      0,                      0,                 3.1549,                 6.8828,                 1.8616,             6.6502e-05,             6.6502e-05,             6.6502e-05
                      8,                 6.1786,                 21.332,                 3.7033,                      0,                      0,                      0,                      0,                 3.1522,                 6.8828,                 1.8599,             7.7554e-05,             7.7554e-05,             7.7554e-05
                      9,                 4.3392,                 18.977,                 2.5819,                      0,                      0,                      0,                      0,                 3.1562,                 6.8828,                 1.8621,             8.8598e-05,             8.8598e-05,             8.8598e-05
                     10,                 6.7562,                 14.728,                 4.2043,                      0,                      0,                      0,                      0,                 3.1562,                 6.8828,                 1.8625,             9.9634e-05,             9.9634e-05,             9.9634e-05
                     11,                 6.8376,                 16.131,                 4.1919,                      0,                      0,                      0,                      0,                 3.1524,                 6.8828,                   1.86,             0.00011066,             0.00011066,             0.00011066
                     12,                 6.7829,                 11.354,                 4.1449,                      0,                      0,                      0,                      0,                 3.1562,                 6.8828,                 1.8615,             0.00012168,             0.00012168,             0.00012168
                     13,                 6.8665,                 19.224,                 4.2725,                      0,                      0,                      0,                      0,                 3.1562,                 6.8828,                 1.8618,             0.00013269,             0.00013269,             0.00013269
                     14,                 6.5716,                 10.847,                 4.1378,                      0,                      0,                      0,                      0,                 3.1601,                 6.8828,                 1.8635,             0.00014369,             0.00014369,             0.00014369
                     15,                0.08618,                 15.725,                0.04026,                      0,                      0,                      0,                      0,                 3.1601,                 6.8828,                 1.8633,             0.00015468,             0.00015468,             0.00015468
                     16,                 6.7969,                 8.7161,                 4.1687,                      0,                      0,                      0,                      0,                 3.1601,                 6.8828,                 1.8633,             0.00016566,             0.00016566,             0.00016566
                     17,                 4.2371,                  18.27,                  2.744,                      0,                      0,                      0,                      0,                 3.1594,                 6.8828,                 1.8628,             0.00017663,             0.00017663,             0.00017663
                     18,                 6.8294,                  12.44,                 4.3897,                      0,                      0,                      0,                      0,                 3.1594,                 6.8828,                 1.8628,              0.0001876,              0.0001876,              0.0001876
                     19,                0.95781,                 15.929,                0.54995,                      0,                      0,                      0,                      0,                 3.1549,                 6.8828,                 1.8601,             0.00019855,             0.00019855,             0.00019855
                     20,                 6.7998,                 10.044,                 4.1138,                      0,                      0,                      0,                      0,                 3.1549,                 6.8828,                 1.8601,              0.0002095,              0.0002095,              0.0002095
                     21,                 6.8254,                 7.8282,                 4.1397,                      0,                      0,                      0,                      0,                  3.153,                 6.8828,                 1.8585,             0.00022044,             0.00022044,             0.00022044
                     22,                   6.37,                 12.329,                 4.4583,                      0,                      0,                      0,                      0,                  3.153,                 6.8828,                 1.8585,             0.00023137,             0.00023137,             0.00023137
                     23,                 6.2305,                 19.064,                 3.6888,                      0,                      0,                      0,                      0,                 3.1445,                  6.875,                  1.853,             0.00024229,             0.00024229,             0.00024229
                     24,                0.09783,                 15.164,                0.05817,                      0,                      0,                      0,                      0,                 3.1445,                  6.875,                  1.853,              0.0002532,              0.0002532,              0.0002532
                     25,                 6.6474,                 10.691,                  4.075,                      0,                      0,                      0,                      0,                 3.1445,                  6.875,                 1.8529,             0.00026411,             0.00026411,             0.00026411
                     26,                0.90358,                 15.485,                0.53833,                      0,                      0,                      0,                      0,                 3.1445,                  6.875,                 1.8529,               0.000275,               0.000275,               0.000275
                     27,                 2.4729,                 16.281,                 1.3183,                      0,                      0,                      0,                      0,                 3.1421,                 6.8672,                 1.8516,             0.00028589,             0.00028589,             0.00028589
                     28,                 6.4467,                   12.7,                 3.8998,                      0,                      0,                      0,                      0,                 3.1421,                 6.8672,                 1.8516,             0.00029676,             0.00029676,             0.00029676
                     29,                  6.538,                 10.332,                 4.0756,                      0,                      0,                      0,                      0,                 3.0935,                 6.8281,                 1.8228,             0.00030763,             0.00030763,             0.00030763
                     30,                 6.5584,                 8.4354,                 3.8846,                      0,                      0,                      0,                      0,                 3.0935,                 6.8281,                 1.8228,             0.00031849,             0.00031849,             0.00031849
                     31,                 1.1351,                 15.401,                0.66641,                      0,                      0,                      0,                      0,                 3.0861,                 6.8242,                 1.8186,             0.00032934,             0.00032934,             0.00032934
                     32,                  6.668,                 13.903,                 3.7217,                      0,                      0,                      0,                      0,                 3.0861,                 6.8242,                 1.8186,             0.00034018,             0.00034018,             0.00034018
                     33,                 1.3997,                 15.475,                0.76711,                      0,                      0,                      0,                      0,                 3.0606,                 6.8281,                 1.8045,             0.00035101,             0.00035101,             0.00035101
                     34,                 6.5318,                 9.8853,                 3.7719,                      0,                      0,                      0,                      0,                 3.0606,                 6.8281,                 1.8045,             0.00036184,             0.00036184,             0.00036184
                     35,                0.24345,                 14.674,                 0.1283,                      0,                      0,                      0,                      0,                 3.0433,                  6.832,                 1.7956,             0.00037265,             0.00037265,             0.00037265
                     36,                 4.7117,                 17.281,                 2.5301,                      0,                      0,                      0,                      0,                 3.0433,                  6.832,                 1.7956,             0.00038346,             0.00038346,             0.00038346
                     37,                 4.8127,                 17.494,                   2.69,                      0,                      0,                      0,                      0,                 2.9953,                 6.7734,                 1.7686,             0.00039426,             0.00039426,             0.00039426
                     38,                 6.8798,                 9.8226,                  3.682,                      0,                      0,                      0,                      0,                 2.9953,                 6.7734,                 1.7686,             0.00040505,             0.00040505,             0.00040505
                     39,                 1.1714,                 14.938,                0.64375,                      0,                      0,                      0,                      0,                 2.9603,                 6.7734,                 1.7498,             0.00041583,             0.00041583,             0.00041583
                     40,                 5.3736,                 8.6074,                 3.6094,                      0,                      0,                      0,                      0,                 2.9603,                 6.7734,                 1.7498,              0.0004266,              0.0004266,              0.0004266
                     41,                 6.6248,                  15.98,                 3.4633,                      0,                      0,                      0,                      0,                 2.8946,                 6.7227,                 1.7133,             0.00043736,             0.00043736,             0.00043736
                     42,                 6.9237,                 12.598,                 4.2709,                      0,                      0,                      0,                      0,                 2.8946,                 6.7227,                 1.7133,             0.00044811,             0.00044811,             0.00044811
                     43,                 2.3989,                 15.607,                 1.3806,                      0,                      0,                      0,                      0,                 2.8991,                 6.7266,                 1.7153,             0.00045886,             0.00045886,             0.00045886
                     44,                 4.8418,                 7.9463,                 3.3752,                      0,                      0,                      0,                      0,                 2.8991,                 6.7266,                 1.7153,              0.0004696,              0.0004696,              0.0004696
                     45,                 1.8639,                 15.091,                 1.0635,                      0,                      0,                      0,                      0,                 2.9045,                 6.1992,                 1.7176,             0.00048032,             0.00048032,             0.00048032
                     46,                0.00023,                 13.804,                0.00012,                      0,                      0,                      0,                      0,                 2.9045,                 6.1992,                 1.7176,             0.00049104,             0.00049104,             0.00049104
                     47,                 5.8796,                 6.9205,                 3.7017,                      0,                      0,                      0,                      0,                 2.9113,                 5.4102,                 1.7205,             0.00050175,             0.00050175,             0.00050175
                     48,                 5.2404,                 6.0938,                 3.4348,                      0,                      0,                      0,                      0,                 2.9113,                 5.4102,                 1.7205,             0.00051245,             0.00051245,             0.00051245
                     49,                 6.3658,                 6.7714,                 3.5462,                      0,                      0,                      0,                      0,                 2.9095,                 4.6406,                 1.7184,             0.00052314,             0.00052314,             0.00052314
                     50,                 5.0485,                 5.3015,                 3.6002,                      0,                      0,                      0,                      0,                 2.9095,                 4.6406,                 1.7184,             0.00053383,             0.00053383,             0.00053383
                     51,                 6.5492,                 14.587,                 3.8976,                      0,                      0,                      0,                      0,                 2.9223,                 3.9062,                 1.7249,              0.0005445,              0.0005445,              0.0005445
                     52,                 5.7821,                  11.07,                 3.1332,                      0,                      0,                      0,                      0,                 2.9223,                 3.9062,                 1.7249,             0.00055517,             0.00055517,             0.00055517
                     53,                 5.5628,                 6.7924,                 3.0569,                      0,                      0,                      0,                      0,                 2.9223,                 3.9062,                 1.7249,             0.00056582,             0.00056582,             0.00056582
                     54,                 6.4208,                 9.7067,                 3.2401,                      0,                      0,                      0,                      0,                 2.9182,                 3.7031,                 1.7235,             0.00057647,             0.00057647,             0.00057647
                     55,                 5.9956,                  6.808,                 3.2178,                      0,                      0,                      0,                      0,                 2.9182,                 3.7031,                 1.7235,             0.00058711,             0.00058711,             0.00058711
                     56,                 5.9507,                 9.7259,                  3.037,                      0,                      0,                      0,                      0,                 2.9182,                 3.7031,                 1.7235,             0.00059774,             0.00059774,             0.00059774
                     57,                  5.408,                 7.8948,                  3.089,                      0,                      0,                      0,                      0,                 2.8579,                 3.5703,                 1.6926,             0.00060836,             0.00060836,             0.00060836
