                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 3.3823,                 3.9047,                  2.892,                0.00076,                0.06392,                0.00221,                0.00046,                 3.7685,                   3.83,                  3.594,              0.0010952,              0.0010952,              0.0010952
                     38,                 3.4422,                  3.642,                 2.6902,                0.00085,                0.07622,                 0.0033,                0.00054,                 3.6653,                 3.8249,                 3.4964,              0.0010947,              0.0010947,              0.0010947
                     39,                 3.1845,                 3.7003,                 2.7786,                0.00088,                0.08545,                0.00317,                0.00078,                 3.5832,                 3.6732,                 3.4065,              0.0010943,              0.0010943,              0.0010943
                     40,                 3.3247,                 3.4766,                   2.74,                0.00097,                0.10266,                0.00273,                0.00095,                 3.5718,                 3.4823,                 3.3433,              0.0010938,              0.0010938,              0.0010938
                     41,                  3.373,                 3.7596,                 2.7768,                0.00098,                0.12545,                0.00421,                0.00127,                 3.4202,                 3.2665,                 3.1913,              0.0010934,              0.0010934,              0.0010934
                     42,                 3.1268,                 3.4066,                 2.7025,                0.00108,                0.14699,                0.00385,                0.00119,                  3.335,                 3.1651,                 3.0807,               0.001093,               0.001093,               0.001093
                     43,                  3.159,                 3.4309,                 2.6318,                0.60428,                0.09469,                 0.0049,                0.00141,                 3.2368,                 3.1768,                  2.975,              0.0010925,              0.0010925,              0.0010925
                     44,                 3.0908,                 3.5338,                 2.6542,                0.64562,                0.01832,                0.00979,                0.00263,                 3.1382,                 3.1963,                 2.9028,              0.0010921,              0.0010921,              0.0010921
                     45,                  3.224,                 3.5872,                 2.6354,                0.68757,                0.02979,                0.01606,                0.00409,                 3.0915,                 3.1333,                  2.818,              0.0010916,              0.0010916,              0.0010916
                     46,                 3.0899,                 3.3915,                 2.6423,                 0.7738,                0.04252,                0.02988,                0.00784,                 2.9794,                 2.9738,                 2.7094,              0.0010912,              0.0010912,              0.0010912
                     47,                 3.0636,                 3.3154,                 2.5807,                0.48679,                0.05427,                0.03396,                0.00977,                 2.8257,                 2.9294,                 2.6135,              0.0010908,              0.0010908,              0.0010908
                     48,                 3.0771,                 3.4381,                 2.6481,                0.49513,                0.06187,                0.03951,                0.01122,                 2.8335,                 3.1378,                 2.6084,              0.0010903,              0.0010903,              0.0010903
                     49,                 3.1528,                 3.3095,                 2.6595,                0.47971,                0.07301,                 0.0372,                0.00977,                 2.8596,                 3.0815,                 2.6183,              0.0010899,              0.0010899,              0.0010899
                     50,                 2.9607,                 3.0875,                 2.5136,                0.71987,                0.07902,                0.05459,                0.01417,                 2.8929,                 2.9084,                 2.6018,              0.0010894,              0.0010894,              0.0010894
                     51,                  2.905,                 3.1647,                 2.5142,                0.68988,                0.09916,                0.06493,                0.01843,                 2.8886,                 2.8357,                 2.5778,               0.001089,               0.001089,               0.001089
                     52,                 3.0295,                 3.0713,                 2.3918,                0.75916,                0.09734,                0.07472,                0.02033,                 2.8092,                 2.7608,                 2.5353,              0.0010886,              0.0010886,              0.0010886
                     53,                 3.0315,                 3.1063,                  2.504,                0.75602,                0.09283,                 0.0666,                0.01802,                 2.8658,                 2.6207,                 2.5381,              0.0010881,              0.0010881,              0.0010881
                     54,                 3.1333,                 3.2286,                 2.5735,                0.79422,                0.07524,                0.07342,                0.01947,                 2.8317,                 2.6675,                 2.5738,              0.0010877,              0.0010877,              0.0010877
                     55,                 2.9231,                 3.1233,                 2.4885,                0.72447,                0.07749,                0.06905,                0.01988,                 2.8416,                  2.709,                 2.5902,              0.0010872,              0.0010872,              0.0010872
                     56,                 2.8562,                 2.8709,                 2.3676,                0.49982,                 0.0814,                 0.0795,                0.02342,                  2.738,                 2.7013,                 2.5208,              0.0010868,              0.0010868,              0.0010868
                     57,                 2.9343,                 3.0151,                 2.3614,                 0.5614,                0.08028,                0.08174,                0.02437,                 2.7726,                 2.6606,                 2.4536,              0.0010864,              0.0010864,              0.0010864
                     58,                 2.8845,                 2.9842,                 2.4371,                0.53236,                0.30056,                0.10852,                0.02972,                 2.8018,                 2.7129,                 2.4308,              0.0010859,              0.0010859,              0.0010859
                     59,                 3.0695,                 2.9575,                 2.3743,                0.54285,                0.29636,                0.11818,                0.03159,                 2.7953,                 2.7182,                  2.397,              0.0010855,              0.0010855,              0.0010855
                     60,                 2.8825,                 2.8783,                 2.3449,                 0.5547,                0.30112,                0.10612,                 0.0297,                 2.7003,                 2.5457,                  2.342,               0.001085,               0.001085,               0.001085
                     61,                 2.9229,                 2.8437,                 2.2322,                0.72839,                0.11007,                0.11861,                0.02889,                 2.7498,                 2.6464,                 2.3906,              0.0010846,              0.0010846,              0.0010846
                     62,                 2.8639,                  2.974,                 2.4312,                0.84759,                0.06787,                0.10532,                0.02365,                 2.8188,                 2.7063,                 2.4417,              0.0010842,              0.0010842,              0.0010842
                     63,                 2.9099,                 2.8926,                 2.2429,                 0.7071,                0.07762,                0.09015,                0.02072,                 2.8905,                 2.7592,                 2.4664,              0.0010837,              0.0010837,              0.0010837
                     64,                 2.9168,                 2.9274,                 2.3453,                0.81289,                0.07217,                0.07657,                0.01805,                 2.8886,                 2.8313,                 2.4351,              0.0010833,              0.0010833,              0.0010833
                     65,                 2.7174,                 2.6568,                 2.2122,                0.85254,                 0.0758,                0.07065,                0.02137,                 2.7939,                 2.7947,                  2.358,              0.0010828,              0.0010828,              0.0010828
                     66,                 2.9374,                 2.7875,                 2.2853,                0.67109,                0.07331,                0.08381,                0.02698,                 2.6928,                 2.6811,                 2.2959,              0.0010824,              0.0010824,              0.0010824
