                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0566,                 8.0566,                 4.3416,                      0,                      0,                      0,                      0,                 4.5471,                 5.3612,                 4.1603,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                 4.8015,                 7.4943,                 4.4035,                      0,                      0,                      0,                      0,                 4.5479,                 5.3602,                 4.1613,             7.7616e-05,             7.7616e-05,             7.7616e-05
                      3,                 4.6267,                 6.4278,                 4.3302,                      0,                      0,                      0,                      0,                 4.5489,                 5.3632,                 4.1624,             0.00012173,             0.00012173,             0.00012173
                      4,                 4.5305,                 6.0508,                 4.2983,                      0,                      0,                      0,                      0,                 4.5577,                 5.3688,                 4.1632,             0.00016566,             0.00016566,             0.00016566
                      5,                 4.5796,                 5.9372,                 4.2729,                      0,                      0,                      0,                      0,                  4.561,                  5.377,                 4.1644,             0.00020942,             0.00020942,             0.00020942
                      6,                 4.1921,                 5.7462,                 4.3336,                      0,                      0,                      0,                      0,                 4.5632,                 5.3905,                 4.1654,               0.000253,               0.000253,               0.000253
                      7,                 4.2956,                 5.7641,                 4.1884,                      0,                      0,                      0,                      0,                 4.5751,                 5.4032,                 4.1687,             0.00029641,             0.00029641,             0.00029641
                      8,                  4.081,                 5.7626,                 4.1891,                      0,                      0,                      0,                      0,                 4.5818,                 5.4227,                 4.1711,             0.00033964,             0.00033964,             0.00033964
                      9,                 4.2701,                 5.2881,                 4.1276,                      0,                      0,                      0,                      0,                 4.5955,                 5.4531,                 4.1762,             0.00038269,             0.00038269,             0.00038269
                     10,                 3.9625,                 5.4253,                  4.112,                      0,                      0,                      0,                      0,                 4.6127,                  5.493,                 4.1837,             0.00042557,             0.00042557,             0.00042557
                     11,                 3.8942,                 5.1754,                 4.0725,                      0,                      0,                      0,                      0,                 4.6418,                 5.4185,                 4.1973,             0.00046827,             0.00046827,             0.00046827
                     12,                 3.9725,                 5.3446,                 3.9066,                      0,                      0,                      0,                      0,                 4.6704,                 5.1671,                 4.2148,              0.0005108,              0.0005108,              0.0005108
                     13,                 3.7421,                 5.1035,                 3.8857,                      0,                      0,                      0,                      0,                 4.7218,                 5.2721,                  4.247,             0.00055315,             0.00055315,             0.00055315
                     14,                 3.6713,                 4.8655,                  3.731,                      0,                      0,                      0,                      0,                 4.7678,                  5.314,                 4.2764,             0.00059532,             0.00059532,             0.00059532
                     15,                 3.4051,                 4.5817,                 3.7416,                      0,                      0,                      0,                      0,                 4.8723,                 5.1736,                 4.3511,             0.00063732,             0.00063732,             0.00063732
                     16,                 3.8781,                  4.619,                 3.6253,                      0,                      0,                      0,                      0,                 4.9325,                 5.2882,                  4.398,             0.00067914,             0.00067914,             0.00067914
                     17,                 3.6946,                 4.5912,                 3.5576,                      0,                      0,                      0,                      0,                 4.9989,                  5.261,                 4.4573,             0.00072079,             0.00072079,             0.00072079
                     18,                 3.5788,                 4.7511,                 3.5003,                      0,                      0,                      0,                      0,                 5.0811,                 5.8554,                 4.5392,             0.00076226,             0.00076226,             0.00076226
                     19,                 3.4295,                 4.2605,                 3.4887,                      0,                      0,                      0,                      0,                 5.1019,                 6.0683,                 4.5673,             0.00080355,             0.00080355,             0.00080355
                     20,                  3.611,                 4.3394,                 3.4967,                      0,                      0,                      0,                      0,                 5.1583,                 6.1645,                 4.6355,             0.00084467,             0.00084467,             0.00084467
                     21,                 3.4415,                 4.5379,                 3.3302,                      0,                      0,                      0,                      0,                 5.2079,                 6.3285,                 4.7148,             0.00088561,             0.00088561,             0.00088561
                     22,                 3.5629,                 4.7291,                 3.2734,                      0,                      0,                      0,                      0,                 5.2015,                 6.4541,                 4.7144,             0.00092638,             0.00092638,             0.00092638
                     23,                 3.4589,                 4.3191,                 3.2721,                      0,                      0,                      0,                      0,                 5.1636,                 6.3238,                 4.6831,             0.00096697,             0.00096697,             0.00096697
                     24,                 3.5639,                 4.2348,                 3.1782,                      0,                      0,                      0,                      0,                 5.1349,                 6.1909,                 4.6533,              0.0010074,              0.0010074,              0.0010074
                     25,                 3.6617,                 4.2821,                 3.1716,                      0,                      0,                      0,                      0,                 5.1175,                  6.085,                 4.6346,              0.0010476,              0.0010476,              0.0010476
                     26,                 3.4962,                 4.3223,                 3.1707,                      0,                      0,                      0,                      0,                 5.1033,                 6.0478,                 4.6229,               0.001056,               0.001056,               0.001056
                     27,                 3.3654,                 3.9594,                 2.9957,                      0,                      0,                      0,                      0,                 5.1453,                 6.1329,                 4.6823,              0.0010538,              0.0010538,              0.0010538
                     28,                 3.6092,                 3.9722,                 3.0839,                      0,                      0,                      0,                      0,                 5.2141,                 6.1899,                 4.7745,              0.0010516,              0.0010516,              0.0010516
                     29,                 3.5938,                 4.1971,                  2.989,                      0,                      0,                      0,                      0,                 5.2271,                 5.7557,                 4.7836,              0.0010494,              0.0010494,              0.0010494
                     30,                 3.3569,                 3.9375,                 2.9014,                      0,                      0,                      0,                      0,                 5.2327,                  5.367,                 4.7694,              0.0010472,              0.0010472,              0.0010472
                     31,                  3.434,                 4.0719,                 3.0452,                      0,                      0,                      0,                      0,                  5.151,                 5.2063,                 4.6499,               0.001045,               0.001045,               0.001045
                     32,                 3.5677,                 3.9433,                 2.9192,                      0,                      0,                      0,                      0,                 4.8654,                 4.5576,                 4.4065,              0.0010428,              0.0010428,              0.0010428
                     33,                 3.4245,                 3.9313,                 2.8298,                0.00022,                0.01231,                0.00015,                  3e-05,                 4.4251,                 4.1501,                  4.128,              0.0010406,              0.0010406,              0.0010406
                     34,                 3.5627,                 4.0624,                 2.9325,                0.00072,                0.03874,                0.00068,                0.00013,                 4.2458,                 4.0729,                 4.0355,              0.0010384,              0.0010384,              0.0010384
                     35,                  3.492,                 3.8131,                 2.7731,                0.00082,                0.04056,                0.00083,                0.00019,                 4.2492,                 4.2273,                 4.0916,              0.0010362,              0.0010362,              0.0010362
                     36,                 3.3747,                 3.8565,                 2.8557,                0.00084,                0.04364,                 0.0009,                0.00019,                 4.1771,                 4.1762,                 4.0593,               0.001034,               0.001034,               0.001034
                     37,                 3.4441,                 3.8657,                 2.8963,                 0.0008,                0.05287,                0.00107,                0.00023,                 4.1005,                  3.906,                 3.9503,              0.0010318,              0.0010318,              0.0010318
                     38,                 3.3826,                 3.6682,                 2.6426,                0.00094,                0.06392,                0.00126,                0.00028,                  3.964,                 3.8077,                  3.801,              0.0010296,              0.0010296,              0.0010296
                     39,                 3.2266,                 3.5936,                 2.7455,                0.00112,                 0.0842,                0.00183,                0.00045,                 3.7696,                 3.6711,                 3.6181,              0.0010274,              0.0010274,              0.0010274
                     40,                 3.3688,                 3.4614,                   2.73,                0.00103,                 0.0965,                0.00203,                0.00051,                 3.5914,                 3.5871,                 3.4466,              0.0010252,              0.0010252,              0.0010252
                     41,                 3.4221,                 3.8122,                 2.7715,                0.00106,                0.11371,                0.00163,                0.00044,                 3.4572,                 3.5279,                 3.3111,               0.001023,               0.001023,               0.001023
                     42,                 3.1816,                  3.364,                 2.6933,                0.60639,                 0.0442,                0.00275,                0.00087,                 3.3957,                 3.3636,                 3.2001,              0.0010208,              0.0010208,              0.0010208
                     43,                   3.21,                 3.4434,                 2.6366,                 0.6364,                0.01217,                0.01003,                0.00435,                 3.3839,                 3.2075,                 3.1279,              0.0010186,              0.0010186,              0.0010186
                     44,                 3.1311,                   3.47,                 2.6611,                0.63612,                0.01944,                0.01237,                0.00479,                 3.3139,                 3.2366,                 3.0497,              0.0010164,              0.0010164,              0.0010164
                     45,                 3.2029,                 3.4625,                 2.6136,                0.43611,                 0.0249,                0.01308,                0.00478,                 3.2374,                 3.4073,                 2.9871,              0.0010142,              0.0010142,              0.0010142
                     46,                 3.0096,                 3.3636,                 2.5847,                0.45469,                0.03902,                0.01507,                0.00663,                 3.1823,                 4.4663,                 2.9629,               0.001012,               0.001012,               0.001012
                     47,                 2.9913,                 3.3098,                 2.5693,                0.42317,                 0.0379,                  0.018,                0.00673,                 3.1705,                 5.9912,                 2.9919,              0.0010098,              0.0010098,              0.0010098
                     48,                 3.0295,                  3.388,                  2.647,                0.48662,                0.04266,                0.03464,                 0.0115,                 3.1771,                 3.7023,                 3.0589,              0.0010076,              0.0010076,              0.0010076
                     49,                 3.1376,                 3.2767,                 2.6663,                0.46749,                0.03287,                0.03658,                0.01315,                 3.1123,                 3.0702,                 3.0158,              0.0010054,              0.0010054,              0.0010054
                     50,                 2.9905,                 3.0072,                 2.4813,                0.67073,                 0.0358,                0.03351,                0.01206,                 3.1348,                 2.9971,                 2.9515,              0.0010032,              0.0010032,              0.0010032
                     51,                 3.0082,                 3.0973,                 2.5427,                0.68035,                0.04615,                0.03311,                0.01149,                 3.0403,                 2.9767,                 2.8478,               0.001001,               0.001001,               0.001001
                     52,                 3.0052,                 3.0156,                 2.3822,                0.66809,                0.05483,                0.02801,                 0.0084,                 3.0202,                 3.0458,                  2.776,             0.00099881,             0.00099881,             0.00099881
                     53,                 3.0453,                 3.1959,                 2.4945,                0.85804,                0.02727,                0.02487,                0.00786,                 3.0269,                 3.1002,                 2.7476,             0.00099661,             0.00099661,             0.00099661
                     54,                 3.1553,                  3.283,                  2.565,                0.84985,                0.03455,                0.03106,                0.00944,                 3.0737,                 3.1062,                 2.7729,             0.00099441,             0.00099441,             0.00099441
                     55,                 3.0456,                 3.1202,                 2.5232,                0.86064,                0.04364,                 0.0428,                0.01333,                 2.9977,                 2.9586,                  2.738,             0.00099221,             0.00099221,             0.00099221
                     56,                 2.9453,                 2.9083,                 2.3845,                0.70384,                0.06434,                0.06073,                0.02089,                  2.822,                 2.8175,                 2.6147,             0.00099001,             0.00099001,             0.00099001
                     57,                 2.9628,                 3.1038,                 2.3619,                0.87977,                0.04909,                0.08118,                0.02672,                  2.824,                 2.7877,                 2.5361,             0.00098781,             0.00098781,             0.00098781
                     58,                 2.8722,                 2.9051,                  2.405,                0.88512,                 0.0485,                0.07898,                 0.0227,                 2.8641,                 2.7879,                 2.5051,             0.00098561,             0.00098561,             0.00098561
                     59,                 3.1084,                 2.9586,                 2.3976,                0.70401,                0.11552,                0.09846,                0.03143,                 2.7695,                 2.6108,                 2.4363,             0.00098341,             0.00098341,             0.00098341
                     60,                 2.8485,                 2.8998,                 2.3212,                0.84693,                 0.0938,                0.11983,                0.03934,                 2.7733,                   2.48,                 2.4188,             0.00098121,             0.00098121,             0.00098121
                     61,                 2.9141,                 2.7812,                 2.2235,                0.77687,                0.09427,                0.11574,                0.03559,                 2.8432,                 2.5093,                 2.4553,             0.00097901,             0.00097901,             0.00097901
                     62,                 2.8446,                 2.9261,                 2.4129,                0.75341,                 0.1027,                0.10941,                0.03166,                 2.8722,                 2.5928,                 2.4952,             0.00097681,             0.00097681,             0.00097681
                     63,                 2.9816,                  2.859,                 2.2903,                0.71577,                0.10937,                0.09172,                0.02635,                  2.873,                 2.8051,                  2.484,             0.00097461,             0.00097461,             0.00097461
                     64,                 2.9546,                 2.8565,                 2.3637,                  0.881,                0.03818,                 0.0618,                0.01839,                 2.8588,                 3.0529,                 2.4774,             0.00097241,             0.00097241,             0.00097241
                     65,                 2.7084,                 2.6477,                 2.2163,                0.69509,                0.07706,                0.05549,                0.01682,                 2.8538,                 2.9935,                 2.4667,             0.00097021,             0.00097021,             0.00097021
