                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9426,                 1.4331,                 1.5067,                 0.7703,                0.49894,                0.52629,                 0.3091,                 2.3142,                 1.7092,                 1.9294,              0.0098654,              0.0098654,              0.0098654
                     36,                  1.927,                  1.404,                 1.5169,                0.64548,                0.55508,                0.53734,                 0.2727,                 2.1531,                 1.6435,                 1.7864,              0.0098614,              0.0098614,              0.0098614
                     37,                 1.9156,                 1.4058,                 1.4977,                 0.5529,                0.53138,                0.53352,                0.28619,                 2.2394,                 1.7973,                 1.8457,              0.0098574,              0.0098574,              0.0098574
                     38,                 1.9237,                 1.3734,                 1.5116,                0.65464,                0.52749,                0.53809,                 0.2208,                 2.2845,                 1.6137,                 1.8399,              0.0098535,              0.0098535,              0.0098535
                     39,                 1.9005,                 1.3627,                 1.4934,                0.71098,                0.53232,                0.48011,                0.22081,                  2.207,                 1.5783,                 1.7962,              0.0098495,              0.0098495,              0.0098495
                     40,                 1.9256,                  1.388,                 1.4816,                0.30434,                0.35851,                0.41544,                0.17407,                 2.2368,                 1.7995,                  1.833,              0.0098456,              0.0098456,              0.0098456
                     41,                 1.8873,                 1.3748,                 1.5062,                 0.7471,                0.51282,                0.54717,                0.25495,                 2.1058,                 1.4658,                 1.7336,              0.0098416,              0.0098416,              0.0098416
                     42,                 1.9013,                 1.3688,                 1.4917,                0.62574,                0.55565,                0.57814,                0.24409,                 2.3295,                 1.6458,                 1.8768,              0.0098376,              0.0098376,              0.0098376
                     43,                 1.8679,                  1.319,                 1.4514,                0.80377,                0.50025,                0.56842,                0.28327,                 2.1988,                 1.5502,                 1.8669,              0.0098337,              0.0098337,              0.0098337
                     44,                 1.8627,                 1.3062,                 1.4716,                0.83918,                0.53054,                0.55285,                0.25493,                 2.2704,                 1.6167,                 1.8571,              0.0098297,              0.0098297,              0.0098297
                     45,                 1.8342,                 1.3003,                 1.4482,                0.44881,                0.49921,                0.48491,                0.22619,                 2.2933,                 1.7448,                 1.8854,              0.0098258,              0.0098258,              0.0098258
                     46,                 1.8444,                 1.2928,                 1.4649,                0.33001,                0.62912,                0.50925,                0.22229,                  2.312,                 1.6185,                  1.804,              0.0098218,              0.0098218,              0.0098218
                     47,                 1.8573,                 1.2797,                 1.4632,                0.72817,                0.54482,                0.55587,                0.24527,                 2.2781,                 1.6257,                 1.8712,              0.0098178,              0.0098178,              0.0098178
                     48,                 1.8167,                 1.2723,                 1.4278,                0.84813,                0.59655,                 0.6079,                0.30431,                 2.0713,                 1.4909,                 1.7599,              0.0098139,              0.0098139,              0.0098139
                     49,                 1.8265,                 1.2553,                 1.4473,                0.51899,                0.51072,                0.55161,                0.25485,                 2.2288,                 1.6392,                 1.8615,              0.0098099,              0.0098099,              0.0098099
                     50,                 1.8052,                 1.2338,                 1.4359,                0.88551,                0.54955,                0.61931,                0.29197,                 2.1364,                 1.3929,                 1.7908,               0.009806,               0.009806,               0.009806
                     51,                 1.7811,                 1.2265,                 1.4348,                0.69012,                0.59517,                0.54171,                 0.2755,                 2.1264,                 1.3858,                 1.8266,               0.009802,               0.009802,               0.009802
                     52,                 1.8046,                 1.2374,                 1.4441,                0.74531,                0.57879,                0.57913,                0.26941,                 2.1984,                 1.4395,                 1.8495,               0.009798,               0.009798,               0.009798
                     53,                 1.7894,                 1.2177,                 1.4302,                 0.5819,                0.52062,                0.54362,                0.25627,                  2.135,                 1.5096,                  1.788,              0.0097941,              0.0097941,              0.0097941
                     54,                 1.8021,                 1.2241,                 1.4123,                0.83292,                0.51162,                0.55336,                 0.2964,                 2.3186,                 1.6686,                 1.9211,              0.0097901,              0.0097901,              0.0097901
                     55,                 1.7913,                 1.2153,                 1.4235,                0.84225,                0.56263,                0.60407,                0.32127,                  2.085,                 1.4513,                 1.7156,              0.0097862,              0.0097862,              0.0097862
                     56,                 1.7978,                 1.1989,                 1.4219,                0.74517,                0.60198,                0.57729,                0.24087,                 2.2179,                 1.5201,                 1.8097,              0.0097822,              0.0097822,              0.0097822
